,Datetime,Permalink,Text,Username,Favorites,Retweets,Geo,Hashtags,Engagements,Polarity,Subjectivity,NB-Positive Probability,NB-Negative Probability,NB-Sentiment Score
0,2020-05-08 06:54:48+00:00,https://twitter.com/stxrryables/status/1258651550529884160,#adoptmetrades Trading my FNR ginger cat! Looking for FNR legendaries or FNR blue dog! (Not my pic) Ty ,stxrryables,1,0,,#adoptmetrades,1,0.0,0.1,0.9640223012350363,0.035977698764963706,0.9280446024700726
1,2020-05-08 06:36:20+00:00,https://twitter.com/kimseok41907056/status/1258646901949370370,Don't miss Meeting the Cat of #Cat_vs_Dog. https://www.webtoons.com/en/challenge/cat-vs-dog/meeting-the-cat/viewer?title_no=407993&amp;episode_no=2 #WEBTOON,kimseok41907056,0,0,,#Cat_vs_Dog #WEBTOON,0,0.0,0.0,0.13028307980130355,0.8697169201986938,-0.7394338403973904
2,2020-05-08 06:25:25+00:00,https://twitter.com/DubeyYashwani/status/1258644153250037761,Sir please response. When will we get our joining Cen 01/18 Cat. 134 Board mumbai @Central_Railway @GM_CRly @drmmumbaicr @PiyushGoyal #आखिर_कब_होगी_जॉइनिंग,DubeyYashwani,12,19,,,31,0.0,0.0,0.8313276049535705,0.16867239504643022,0.6626552099071403
3,2020-05-08 06:23:32+00:00,https://twitter.com/httpwonwooed/status/1258643680321081346,huh whos the cat at the back??? ,httpwonwooed,2,2,,,4,0.0,0.0,0.8402779199568757,0.1597220800431251,0.6805558399137506
4,2020-05-08 06:18:18+00:00,https://twitter.com/HappyHooker1157/status/1258642363339210753,Good morning from Poole Harbour Have coffee on the go we need it today as one of our lovely 3 cats decided it would be fun to knock a glass of water over the bed at silly 0 clock this morning Grumpy is definitely living up to his name Have a lovely #VEDay75 pic.twitter.com/3PAeXFHVak,HappyHooker1157,43,2,,#VEDay75,45,0.25,0.6124999999999999,0.45070284400158955,0.5492971559984171,-0.09859431199682755
5,2020-05-08 06:15:33+00:00,https://twitter.com/kuncatdad/status/1258641672902045696,model by day n cat dad by night ,kuncatdad,3,0,,,3,0.0,0.0,0.8110010160946836,0.18899898390531422,0.6220020321893693
6,2020-05-08 06:06:18+00:00,https://twitter.com/ShyanShyanLee2/status/1258639344098668544,LOST CAT !!!! IPOH area ~~~~~~ ,ShyanShyanLee2,6,15,,,21,0.0,0.0,0.5819420950125269,0.41805790498747114,0.16388419002505578
7,2020-05-08 06:04:38+00:00,https://twitter.com/DickKingSmith/status/1258638921908576256,Cat frivolity of the day. pic.twitter.com/VLkuOWwGvh,DickKingSmith,359,64,,,423,0.0,0.0,0.8308561679523092,0.16914383204769284,0.6617123359046164
8,2020-05-08 05:55:47+00:00,https://twitter.com/shro0msz/status/1258636697194999813,That one time i bought a cow top bc of the song Mooo! by Doja cat LMAO ,shro0msz,66,11,,,77,0.32222222222222224,0.5555555555555555,0.8230166494941676,0.17698335050583647,0.6460332989883312
9,2020-05-08 05:37:47+00:00,https://twitter.com/antoniiogarza21/status/1258632166797381632,I USED A DOJA CAT SONG IN MY VIDEO AND IT GOT BANNED FROM EVERY COUNTRY IN THE WORLD SO NOW I HAVE TO REPLACE THAT WHOLE SECTION WITH SHITTY NON-COPYRIGHT MUSIC I AM GOING TO RIP ALL OF MY HAIR OUT AND SCREAM the vid will be back up soon ,antoniiogarza21,4942,124,,,5066,0.1,0.2,0.023530576807230485,0.9764694231927664,-0.9529388463855359
10,2020-05-08 05:34:29+00:00,https://twitter.com/cattitudescrvs/status/1258631335876243456,Nobody : Cat owner : : lingvistov ,cattitudescrvs,136,106,,,242,0.0,0.0,0.8755917107843181,0.12440828921568241,0.7511834215686357
11,2020-05-08 05:31:59+00:00,https://twitter.com/mysticnct/status/1258630707603267584,"early today, lucas ran to me and told me he left the stove on so i went to dollar general to save my cat from the Firetruck that was in the pool but then winwin swept in and took my shoe to the icecream shop. the end. ",mysticnct,10,0,,,10,0.05000000000000001,0.26666666666666666,0.021376356213572992,0.978623643786431,-0.9572472875728579
12,2020-05-08 05:23:39+00:00,https://twitter.com/sweeterharry/status/1258628612028166144,Harry is tired of me cat fishing ,sweeterharry,10,2,,,12,-0.4,0.7,0.7671533398692104,0.2328466601307915,0.5343066797384189
13,2020-05-08 05:21:31+00:00,https://twitter.com/kinshi93/status/1258628074452578305,smart cat ,kinshi93,52,11,,,63,0.0,0.0,0.8755917107843181,0.12440828921568241,0.7511834215686357
