,Datetime,Permalink,Text,Username,Favorites,Retweets,Geo,Hashtags,Engagements,Polarity,Subjectivity,NB-Positive Probability,NB-Negative Probability,NB-Sentiment Score
0,2020-09-01 00:01:38+00:00,https://twitter.com/WeisbergCaitlin/status/1300584565879107585,@AsmMoniqueLimon Honor the victims of police violence by creating change. Vote to pass #SB731. Police accountability for rights violations is necessary. Don't stop at tributes. https://a37.asmdc.org/photo/20200609-tribute-george-floyd #GeorgeFloyd,WeisbergCaitlin,0,1,,#SB731 #GeorgeFloyd,1,0.0,1.0,0.12497284177030768,0.8750271582296901,-0.7500543164593825
1,2020-08-31 23:58:07+00:00,https://twitter.com/ThyloguyStudio/status/1300583677873790983,"""Sox to be you!"" Drawing for @FloydKangaroo of his characters Floyd &amp; Kate. #anthro #kangaroo",ThyloguyStudio,0,0,,#anthro #kangaroo,0,0.0,0.0,0.9043273905125213,0.09567260948747881,0.8086547810250425
2,2020-08-31 23:26:29+00:00,https://twitter.com/mikefloyd79/status/1300575717458096128,UPDATE: Malice in Wonderland on #WEBTOON will be ON HIATUS UNTIL FURTHER NOTICE! This is due to unfortunate events involving a computer crashing and losing ALL the files. Thanks for your understanding! #WebtoonCanvas https://www.webtoons.com/en/challenge/malice-in-wonderland/list?title_no=378226,mikefloyd79,0,0,,#WEBTOON #WebtoonCanvas,0,0.037500000000000006,0.2875,0.7897301770799818,0.21026982292002033,0.5794603541599614
3,2020-08-31 23:05:32+00:00,https://twitter.com/michellemalkin/status/1300570444538413057,"This is a BIG MOMENT. Important for patriots, #2A, self-defense &amp; EVERY American who has fought the mob in small ways and large. @realDonaldTrump stands with us - NOT George Floyd, Jacob Blake, Crump cash cows, or Antifa - against the mob. ",michellemalkin,1215,397,,#2A,1612,-0.008928571428571432,0.23214285714285715,0.4119725931733853,0.5880274068266174,-0.17605481365323206
4,2020-08-31 22:26:33+00:00,https://twitter.com/RInman715/status/1300560635781165058,#PoliceThePolice #ReformThePolice I just sent an urgent message telling my U.S. Senators: Pass the Justice in Policing Act &gt;&gt;,RInman715,0,0,,#PoliceThePolice #ReformThePolice,0,0.0,0.0,0.9671112283105122,0.03288877168949098,0.9342224566210212
5,2020-08-31 21:39:59+00:00,https://twitter.com/Ravens/status/1300548918237945859,Ravens players and staff signed a letter to Sen. Mitch McConnell urging him to bring the George Floyd Justice in Policing Act of 2020 to the Senate floor for a vote. ,Ravens,3408,1112,,,4520,0.0,0.0,0.4817934092020979,0.5182065907979044,-0.03641318159580653
6,2020-08-31 20:33:10+00:00,https://twitter.com/letsgomathias/status/1300532101113171970,"NEW: U.S. has seen nearly 11,000 protests since cops killed George Floyd, according to new @ACLEDINFO data, most associated with BLM. Data also shows rising state repression &amp; vigilante violence. Cops used force against nearly 400 BLM protests since May.",letsgomathias,247,181,,,428,0.12878787878787878,0.36818181818181817,0.7133010865382708,0.2866989134617338,0.42660217307653703
7,2020-08-31 20:23:10+00:00,https://twitter.com/HW_Floyd/status/1300529583691890699,"How can he fix the country, if he cant create a coherent sentence? #BlackVoicesforTrump #woke",HW_Floyd,27,13,,#BlackVoicesforTrump #woke,40,0.5,0.7,0.7766675478625117,0.22333245213749,0.5533350957250217
8,2020-08-31 19:53:41+00:00,https://twitter.com/CauseWereGuys/status/1300522165423542278,If Floyd Mayweather was a bird pic.twitter.com/BXgVMz4P1x,CauseWereGuys,2013,394,,,2407,0.0,0.0,0.868122965786595,0.1318770342134056,0.7362459315731894
9,2020-08-31 18:48:38+00:00,https://twitter.com/steve_sps/status/1300505794685947904,It’s a Monday chill time... Images of the stunning Northern Lights (Aurora Borealis) taken in Norway... ...set to the intro of Pink Floyd’s ‘Shine on you crazy Diamond..’ Enjoy... #PinkFloyd #Norway @visitnorway #MondayVibes,steve_sps,381,144,,#PinkFloyd #Norway #MondayVibes,525,0.05000000000000002,0.675,0.8131549269467776,0.18684507305322523,0.6263098538935523
10,2020-08-31 18:33:45+00:00,https://twitter.com/Ms_Elise26/status/1300502050166517761,The only way to HEAL SIR!! ENFORCE THE GEORGE FLOYD POLICING ACT!! Until laws change to protect all people!! #NoJustice #NoPeace @SenateGOP,Ms_Elise26,1,0,,#NoJustice #NoPeace,1,0.0,1.0,0.9677367816605231,0.03226321833947759,0.9354735633210456
11,2020-08-31 18:26:57+00:00,https://twitter.com/michellemalkin/status/1300500336977739781,A tipster sent me this revolting BLM prayer at St Xavier Catholic Church in NYC yesterday: “Do you affirm that white privilege is unfair...will you commit to helping transform our church culture” and worship daily at altar of “racial justice.” St. George Floyd replaces Jesus. ,michellemalkin,4396,3055,,,7451,0.0,0.03333333333333333,0.0037116465806524496,0.9962883534193429,-0.9925767068386904
12,2020-08-31 18:22:31+00:00,https://twitter.com/shannonrwatts/status/1300499222114922496,"New data shows that far-right vigilantes in America, often with support from police, have threatened protesters nearly 500 times since police killed George Floyd, including shots fired at protesters nine times. ",shannonrwatts,596,423,,,1019,0.012121212121212116,0.28484848484848485,0.02917566060563794,0.9708243393943624,-0.9416486787887245
13,2020-08-31 17:22:15+00:00,https://twitter.com/ValleyFloydFred/status/1300484056614875138,What a waste of space. #cafc,ValleyFloydFred,53,0,,#cafc,53,-0.2,0.0,0.372983049781872,0.6270169502181275,-0.2540339004362555
14,2020-08-31 16:56:40+00:00,https://twitter.com/ceciliafloydpoe/status/1300477617380954112," #Repost @stjepanhauser (@get_repost) ・・・ Signorina, let’s continue the ride Can’t Help Falling in Love with Venice https://www.instagram.com/p/CEj6nD2B5inH1PKsBL-TAnaRwEiHObNjOcnrJI0/?igshid=hxnsngxltpzi",ceciliafloydpoe,0,0,,#Repost,0,0.5,0.6,0.9798669182262694,0.020133081773728745,0.9597338364525406
15,2020-08-31 16:35:06+00:00,https://twitter.com/IAmAGeorgeFloyd/status/1300472189301522436,"The ""decent, kind, caring empathetic Trump"" your family tried to paint you as sure didn't last long, Donnie. Because it's a facade! You're a hateful nasty uncaring unempathetic pathological liar & an unqualified irresponsible dangerous leader #TrumpIsUnwell #TrumpFailed",IAmAGeorgeFloyd,14,4,,#TrumpIsUnwell #TrumpFailed,18,-0.054761904761904776,0.688888888888889,0.9634834745787332,0.036516525421269416,0.9269669491574638
16,2020-08-31 15:49:29+00:00,https://twitter.com/theblaze/status/1300460709483081728,Cops' lawyers make bombshell claims in George Floyd case: Bodycam shows Floyd ingesting fatal amount of drugs before arrest; he died of overdose ,theblaze,855,494,,,1349,-0.05,0.0,0.6245548578159186,0.3754451421840837,0.24910971563183487
17,2020-08-31 15:24:47+00:00,https://twitter.com/Ana5_SSR/status/1300454496200347649,A friend just called Sushant’s case a suicide! My head exploded! These are the same people who were telling the world “Educate Yourself” during George Floyd’s case but don’t know anything about this case nor do they try to learn! God Give Me Patience!! #CBINarco4Rhea,Ana5_SSR,30,20,,#CBINarco4Rhea,50,0.0,0.125,0.0004237277649075021,0.9995762722350853,-0.9991525444701778
18,2020-08-31 15:05:47+00:00,https://twitter.com/hrrymlrac/status/1300449713162866689,BlackLivesMatter! First Floyd and then JacobBlake. Racial discrimination in the United States is getting worse! ,hrrymlrac,109,37,,,146,-0.07500000000000001,0.4666666666666667,0.07005516690554742,0.9299448330944516,-0.8598896661889042
19,2020-09-01 00:16:51+00:00,https://twitter.com/theNakahat/status/1300588392963604480,6 days after Floyd died,theNakahat,0,0,,,0,0.0,0.0,0.8755917107843418,0.12440828921565973,0.7511834215686821
20,2020-08-31 23:55:33+00:00,https://twitter.com/GreenAngelCBD/status/1300583035327385600,We got to meet George floyds brother today. It was great meeting Terrance Floyd ! #ripGeorgefloyd #PopSmoke #LoveWins,GreenAngelCBD,1,0,,#ripGeorgefloyd #PopSmoke #LoveWins,1,0.8,0.75,0.8035676752179681,0.19643232478202954,0.6071353504359386
21,2020-08-31 23:53:30+00:00,https://twitter.com/yummyh2t/status/1300582516798230534,I just sent an urgent message telling my U.S. Senators: Pass the Justice in Policing Act >> https://bit.ly/2NnTvGv @Everytown #BlackLivesMatter #GunControlNow,yummyh2t,0,0,,#BlackLivesMatter #BlackLivesMatter #GunControlNow,0,0.0,0.0,0.9671112283105122,0.03288877168949098,0.9342224566210212
22,2020-08-31 22:46:01+00:00,https://twitter.com/TMFloydandCo/status/1300565535915155456,"""89% of all tech job postings are listed by non-tech companies."" Check out what you should be doing to find the job of your dreams https://tek.io/3hKMpt9 #technews #techjobs",TMFloydandCo,0,0,,#technews #techjobs,0,0.0,0.0,0.03234216872365419,0.9676578312763423,-0.9353156625526882
23,2020-08-31 22:30:00+00:00,https://twitter.com/eyez_gypsy/status/1300561504501080064, my first all time favorite group #PinkFloyd second favorite is #MotleyCrue,eyez_gypsy,0,0,,#PinkFloyd #MotleyCrue,0,0.3125,0.5833333333333333,0.24681522383622656,0.7531847761637737,-0.5063695523275471
24,2020-08-31 21:54:58+00:00,https://twitter.com/muhammedmarakby/status/1300552689412046849,♫ #NowPlaying “High Hopes (Live)” by @pinkfloyd on #Anghami,muhammedmarakby,0,0,,#NowPlaying #Anghami,0,0.1481818181818182,0.52,0.91434622504199,0.08565377495800773,0.8286924500839823
25,2020-08-31 21:44:22+00:00,https://twitter.com/Ravens/status/1300550021289521152,Ravens players and staff signed a letter to Sen. Mitch McConnell urging him to bring the George Floyd Justice in Policing Act of 2020 to the Senate floor for a vote. ,Ravens,2024,490,,,2514,0.0,0.0,0.4817934092020979,0.5182065907979044,-0.03641318159580653
26,2020-08-31 21:28:24+00:00,https://twitter.com/ChangeTheLAUSD/status/1300546000830881792,George Floyd is only one victim of institutionalized racism and police brutality. How many others have been victimized beyond the reach of cameras? #BLM #Justice,ChangeTheLAUSD,1,0,,#BLM #Justice,1,0.14166666666666666,0.5166666666666667,0.015187829109556293,0.9848121708904423,-0.969624341780886
27,2020-08-31 21:18:45+00:00,https://twitter.com/BrianMFloyd/status/1300543574849675265,just giant red flashing warning lights everywhere https://theathletic.com/2034607/2020/08/31/big-tens-response-nebraska-player-lawsuit-presidents-vote/,BrianMFloyd,127,77,,,204,0.0,0.5,0.885764118357486,0.11423588164251353,0.7715282367149725
28,2020-08-31 21:07:29+00:00,https://twitter.com/EstherValadez15/status/1300540738594365442,"#RT @RamsNFL: RT @JB_Long: McVay @RamsNFL Summary WR Kupp: Preexisting ankle soreness. Does NOT have sprain, as reported. X-rays negative. RB Henderson: Not ready to practice yet. Kicker: Ongoing competition, will use remaining practices. OLB Floyd &amp; OT Havenstein: …",EstherValadez15,0,0,,#RT,0,-0.2,0.45,0.9921776051563161,0.007822394843679402,0.9843552103126367
29,2020-08-31 18:12:38+00:00,https://twitter.com/AllisonRFloyd/status/1300496734343311361,"If you’re undecided on who to vote for in August of 2020, I don’t think you deserve to be an adult.",AllisonRFloyd,433,37,,,470,0.1,0.3,0.8797513358753756,0.12024866412461988,0.7595026717507557
30,2020-08-31 18:00:52+00:00,https://twitter.com/FloydKenny2/status/1300493772686610433,I follow back,FloydKenny2,98,0,,,98,0.0,0.0,0.7483257052630484,0.2516742947369497,0.49665141052609874
31,2020-08-31 16:56:01+00:00,https://twitter.com/AmericasLegacy/status/1300477455417962502,Will Non-Violent Peaceful Protest Make A Change In America @GOP A Glick In The Matrix ... A Half Century Later @WSJ George Floyd Comprehensive Anti Racial Discrimination Act ,AmericasLegacy,0,0,,,0,0.12083333333333335,0.3166666666666667,0.7119074728829802,0.28809252711701927,0.4238149457659609
32,2020-08-31 16:23:40+00:00,https://twitter.com/Rick48062105/status/1300469311388213249,"Exactly! Same with George Floyd, Breonna Taylor, etc. etc. #BlueLivesMatter",Rick48062105,0,0,,#BlueLivesMatter,0,0.0,0.125,0.7318482948253116,0.26815170517469056,0.463696589650621
33,2020-08-31 15:49:13+00:00,https://twitter.com/crockpics/status/1300460641908666369,"Pink Floyd, 1967. Photo from Michael Ochs Archives. ",crockpics,762,135,,,897,-0.1,0.3,0.8264840955544688,0.17351590444552917,0.6529681911089396
34,2020-08-31 15:26:54+00:00,https://twitter.com/witerds/status/1300455025903366144,if you saw you like i see you you'd be cocky as hell but i'd still be in love with you #HappyJungkookDay pic.twitter.com/Y6BVuq6bYk,witerds,0,0,,#HappyJungkookDay,0,0.15,0.75,0.05851952031467023,0.9414804796853302,-0.88296095937066
35,2020-09-01 00:13:26+00:00,https://twitter.com/wesammuhamed/status/1300587533559115776,♫ #NowPlaying “Comfortably Numb” by @pinkfloyd on #Anghami,wesammuhamed,2,0,,#NowPlaying #Anghami,2,-0.6,1.0,0.91434622504199,0.08565377495800773,0.8286924500839823
36,2020-09-01 00:05:08+00:00,https://twitter.com/Team_Cephalopod/status/1300585445601038336,#Enough #EndGunViolence I just sent an urgent message telling my U.S. Senators: Pass the Justice in Policing Act &gt;&gt;,Team_Cephalopod,1,0,,#Enough #EndGunViolence,1,0.0,0.5,0.9069554011161428,0.0930445988838534,0.8139108022322894
37,2020-08-31 21:15:04+00:00,https://twitter.com/4sidedshapes/status/1300542648344666112,"Among my works currently on display at @elidaortiz / upstategrain at 31 Clinton is this piece entitled ""Strength"". I painted this shortly after the death of George Floyd and I said at the time that I would plan to… https://www.instagram.com/p/CEkYL0An5Qh/?igshid=1i9d6lc435pov",4sidedshapes,0,0,,,0,0.0,0.4,0.00032348596754026246,0.9996765140324595,-0.9993530280649192
38,2020-08-31 20:48:51+00:00,https://twitter.com/Hbomberguy/status/1300536050201354241,lol remember when pyschos tried to say george floyd had an underlying condition and not a cop choking him to death with his knee for 10 minutes. they're trying to do that to america now,Hbomberguy,3241,259,,,3500,0.8,0.7,0.0812961533442823,0.9187038466557186,-0.8374076933114363
39,2020-08-31 20:21:59+00:00,https://twitter.com/floyd4L/status/1300529285678215168,If #SheOwnsHerSuccess then she is 100% keeper. ,floyd4L,8,5,,#SheOwnsHerSuccess,13,0.0,0.0,0.8478619278703671,0.15213807212963418,0.6957238557407329
40,2020-08-31 20:03:18+00:00,https://twitter.com/KFloydJames/status/1300524586207981571,Workout of the day the kid abandoned me but this was the end anyway. We were both DRENCHED. #SelfCareContinues,KFloydJames,2,0,,#SelfCareContinues,2,0.0,0.0,0.9556734706479182,0.0443265293520831,0.911346941295835
41,2020-08-31 18:49:27+00:00,https://twitter.com/RobFloyd20/status/1300505998986301443,Can someone put together an ad of some sort showing Trump doing his WWE act and superimposing it on the state of affairs in the US today? He thrives on the theater of chaos and conflict. Call him out on it. @ProjectLincoln @JoeBiden @KamalaHarris,RobFloyd20,0,0,,,0,0.0,0.0,0.9856072049909579,0.01439279500903419,0.9712144099819237
42,2020-08-31 18:12:01+00:00,https://twitter.com/FloydDaily/status/1300496581385490439,"Run, rabbit run. Dig that hole, forget the sun. #Breathe #PinkFloyd",FloydDaily,4,0,,#Breathe #PinkFloyd,4,0.0,0.0,0.224170122068523,0.7758298779314757,-0.5516597558629528
43,2020-08-31 17:50:54+00:00,https://twitter.com/Kevin_Shipp/status/1300491268213141510,"The facts come in about George Floyd. But, they will not matter. ",Kevin_Shipp,147,78,,,225,0.0,0.0,0.2169541015193212,0.7830458984806773,-0.5660917969613561
44,2020-08-31 17:15:56+00:00,https://twitter.com/AmericasLegacy/status/1300482465992257536,New York City Is Alive @foxandfriends The World Loves New York City @BBCWorld George Floyd Comprehensive Anti Racial Discrimination Act ,AmericasLegacy,0,0,,,0,0.12424242424242422,0.43636363636363634,0.9812804411178432,0.018719558882157407,0.9625608822356858
45,2020-08-31 16:43:21+00:00,https://twitter.com/AmericasLegacy/status/1300474268166258688,African American Communities Are Very Diverse @JoeBiden Defund Career Do Nothing Politicians @dcexaminer Fund Term Limits @washingtonpost Community Voices Run For Elected Offices @CNNPolitics George Floyd Comprehensive Police Reform Act @nytimes,AmericasLegacy,0,0,,,0,0.06666666666666667,0.09999999999999999,0.9215621711336981,0.07843782886630316,0.843124342267395
46,2020-08-31 14:56:57+00:00,https://twitter.com/b0xingfan/status/1300447491163332608,Muhammad Ali x Floyd Mayweather. Pull-Counter ,b0xingfan,714,180,,,894,0.0,0.0,0.8755917107843245,0.12440828921567505,0.7511834215686495
47,2020-08-31 14:39:01+00:00,https://twitter.com/30SECVlDEOS/status/1300442978209665024,If Floyd Mayweather was a pigeon ,30SECVlDEOS,13346,2852,,,16198,0.0,0.0,0.868122965786595,0.1318770342134056,0.7362459315731894
48,2020-09-01 00:05:04+00:00,https://twitter.com/Agedone3/status/1300585429226475521,"""NOT TO BE TRUSTED!"" @realDonaldTrump @GOP I have to ask was the policeman that killed George Floyd was he one of those RIGHT THINKING PEOPLE we discussed earlier? @JoeBiden @KamalaHarris @SenSchumer @RepSwalwell @ChrisCuomo @ABC @MSNBC @SpeakerPelosi @nytimes @RVAT2020",Agedone3,0,0,,,0,0.028571428571428564,0.3452380952380952,0.3978335162140728,0.6021664837859317,-0.20433296757185893
49,2020-08-31 23:00:38+00:00,https://twitter.com/JamesFl18395111/status/1300569214365958144,Great Fan from my San Diego book signing on 2019. I will be returning October 23-26 to San Diego to sign copies of books from my Galactic Warriors Series at the Hyatt Place San Diego/Sorrento Mesa. #authorlife,JamesFl18395111,0,0,,#authorlife,0,0.8,0.75,0.9597692439629216,0.0402307560370807,0.9195384879258409
50,2020-08-31 19:52:15+00:00,https://twitter.com/DrewWritesKY/status/1300521803669016576,Congratulations @SportsTaylor's Katie Floyd! ,DrewWritesKY,3,0,,,3,0.0,0.0,0.8755917107843288,0.12440828921567107,0.7511834215686578
51,2020-08-31 18:54:56+00:00,https://twitter.com/CountFloyd2020/status/1300507380212330496,"Was it only a few days ago that #abhealth tweeted oil price summaries, and explained how nothing is Jason Kenney or the UCP's fault?",CountFloyd2020,6,4,,#abhealth,10,-0.1,0.55,0.5414449900667334,0.45855500993327114,0.08288998013346227
