,Datetime,Permalink,Text,Username,Favorites,Retweets,Geo,Hashtags,Engagements,Polarity,Subjectivity,NB-Positive Probability,NB-Negative Probability,NB-Sentiment Score
0,2020-08-31 22:24:06+00:00,https://twitter.com/LAPremierSports/status/1300560018832531461,That timeJames Harden averaged 44 for a month ,LAPremierSports,1136,199,,,1335,0.0,0.0,0.5630826598830251,0.43691734011697625,0.12616531976604883
1,2020-08-31 20:11:02+00:00,https://twitter.com/Original_Gio/status/1300526530825609217,"""I trust Harden more than LeBron, Harden pushed those Warriors teams more than LeBron did."" - Warriors Twitter #WeBelieve",Original_Gio,37,6,,#WeBelieve,43,0.5,0.5,0.2243660926907566,0.7756339073092451,-0.5512678146184885
2,2020-08-31 18:18:36+00:00,https://twitter.com/LBJamesHarden/status/1300498236831039490,Career 50 point triple doubles: Harden &amp; Westbrook - 8 Everyone else in NBA history combined - 6 ,LBJamesHarden,543,103,,,646,0.0,0.0,0.9087798479248129,0.09122015207518476,0.8175596958496282
3,2020-08-31 15:34:58+00:00,https://twitter.com/Chris_Broussard/status/1300457056332324864,"I’m not saying Donovan’s better than DWade. DWade is 4th-best SG ever (MJ, Kobe, JWest), tho Harden is chasing. Just saying his game is like DWade’s w/the 3. Just like Mark Jackson wasn’t saying Luka is better than Bird &amp; Magic by calling him a combo of the 2. just a comparison.",Chris_Broussard,1126,65,,,1191,0.275,0.6,0.3709026660729797,0.6290973339270156,-0.2581946678540359
4,2020-08-31 15:32:21+00:00,https://twitter.com/AKInfinity_VVS/status/1300456398938157056,"Good morning #NBATwitter James Harden is averaging 2 less turnovers, a minute less of playing time, 4% higher FG%, and .5 more assists per game in the playoffs.",AKInfinity_VVS,20,3,,#NBATwitter #NBATwitter,23,0.11944444444444445,0.35555555555555557,0.28837238931524484,0.7116276106847569,-0.42325522136951205
5,2020-08-31 14:29:33+00:00,https://twitter.com/NathanFogg1/status/1300440595832373250,Just a lil comparison this playoffs between Harden and Kawhi (per36) Points: Harden Assists: Harden Rebounds: Kawhi AST/TO: Harden 2p%: Harden 3pt%: Harden eFG%: Harden TS%: Harden +/-: Harden Feels like one has been given more praise than the other,NathanFogg1,522,92,,,614,0.1875,0.4375,0.027171123177077768,0.9728288768229215,-0.9456577536458437
6,2020-08-31 11:30:07+00:00,https://twitter.com/_ItsAngelC/status/1300395438386941953,"Sensitive people should be treasured. They love deeply and think deeply about life. They are loyal, honest, and true. The simple things sometimes mean the most to them. They don't need to change or harden. Their purity makes them who they are... #HappyDays",_ItsAngelC,89,43,,#HappyDays,132,0.20708333333333334,0.622797619047619,0.0721481170654475,0.9278518829345621,-0.8557037658691146
7,2020-08-31 11:29:38+00:00,https://twitter.com/AlexTheHonk/status/1300395315850215425,I know it’s been a hard year. Don’t let it harden your heart. ,AlexTheHonk,1666,390,,,2056,-0.2916666666666667,0.5416666666666666,0.8518225378121353,0.14817746218786926,0.703645075624266
8,2020-08-31 10:38:10+00:00,https://twitter.com/cstav13/status/1300382365223661569,James Harden vs. The World - #OneMission #NBATwitter,cstav13,472,96,,#OneMission #OneMission #NBATwitter #NBATwitter,568,0.0,0.0,0.9783744422441399,0.02162555775585827,0.9567488844882817
9,2020-08-31 08:57:24+00:00,https://twitter.com/dremrekara/status/1300357007757783040,"#MJMONDAYS MJ vs Bad Boys defence ! Thinking about times when NBA was tough... and watching Harden, Luka... meh... ",dremrekara,9,1,,#MJMONDAYS,10,-0.5444444444444444,0.75,0.0045087408105486376,0.9954912591894477,-0.9909825183788991
