,Datetime,Permalink,Text,Username,Favorites,Retweets,Geo,Hashtags,Engagements,Polarity,Subjectivity,NB-Positive Probability,NB-Negative Probability,NB-Sentiment Score
0,2020-05-08 08:13:28+00:00,https://twitter.com/HenrysLocks/status/1258671347636621312,"#fb Tesla Cybertruck https://ift.tt/2JCdsZa With its futuristic, angular body, Tesla's Cybertruck electric pickup has a polarizing design that could limit sales in a segment symbolic of a rugged, practical American lifestyle.",HenrysLocks,0,0,,#fb,0,0.0,0.0,0.072306299248376,0.9276937007516248,-0.8553874015032488
1,2020-05-08 04:32:15+00:00,https://twitter.com/Mars4x4/status/1258615675444068353,poll: which car with all the garbage on it is the zoox vehicle? #Tesla #zoox,Mars4x4,15,1,,#Tesla #zoox,16,0.0,0.0,0.9962482102484393,0.0037517897515611837,0.9924964204968781
2,2020-05-08 04:31:57+00:00,https://twitter.com/ChroniclesClio/status/1258615598679863296,Thread. Nikola Tesla had met Swami Vivekananda in 1895. The meeting was arranged by French actress Sarah Bernhardt. Swami Vivekananda’s effect on Nikola Tesla was so great that he began using Sanskrit words and concepts in his work. #CliosChronicles,ChroniclesClio,166,82,,#CliosChronicles,248,0.4,0.375,0.560403593065293,0.4395964069347044,0.12080718613058855
3,2020-05-08 04:14:05+00:00,https://twitter.com/DriveTeslaca/status/1258611103258402816,"You can now see your #Tesla Shop history in your Tesla Account, just as a reminder to show how much money you've spent on accessories ",DriveTeslaca,48,8,,#Tesla,56,0.05,0.15000000000000002,0.010985761616384737,0.9890142383836131,-0.9780284767672284
4,2020-05-08 03:20:29+00:00,https://twitter.com/spotted_model/status/1258597615060414464,Empty alley = great photo opp. #tesla #model3 #lucidwraps,spotted_model,53,4,,#tesla #model3 #lucidwraps,57,0.35000000000000003,0.625,0.9958541210002715,0.004145878999727056,0.9917082420005444
5,2020-05-08 01:04:10+00:00,https://twitter.com/krkphotog/status/1258563310108192768,#tesla #ElonMusk @elonmusk @Teslarati Just wondering why Tesla doesn’t make a true convertible...pop tops don’t count...,krkphotog,0,0,,#tesla #ElonMusk,0,0.35,0.65,0.7961734522415702,0.20382654775842926,0.592346904483141
6,2020-05-08 00:43:51+00:00,https://twitter.com/Supermantibody/status/1258558197977288706,There's always that one #Tesla guy who's in need a dose of reality ,Supermantibody,23,4,,#Tesla,27,0.0,0.0,0.19811347946939104,0.8018865205306067,-0.6037730410612157
7,2020-05-07 20:49:50+00:00,https://twitter.com/jchybow/status/1258499302084788224,"Does anyone else try to buy enough stock to make it a nice, round number of shares? #Tesla",jchybow,100,2,,#Tesla,102,0.13333333333333333,0.6333333333333333,0.9662937620646299,0.03370623793537012,0.9325875241292598
8,2020-05-07 20:02:34+00:00,https://twitter.com/mrmagnesiumman/status/1258487407403397120,The future of @tesla and @spacex is #Magnesiummetal https://www.livescience.com/6488-magnesium-super-material-future.html,mrmagnesiumman,10,30,,#Magnesiummetal,40,0.0,0.125,0.5681334107848154,0.43186658921518567,0.13626682156962971
9,2020-05-07 18:52:55+00:00,https://twitter.com/mortenlund89/status/1258469881042866176,Netherlands Tesla Registrations Yesterday May 7th: -- 18 -- (e-Tron: 1) *1* - Model S *16* - Model 3 *1* - Model X May Total: -- 27 -- (e-Tron: 10) ,mortenlund89,8,1,,,9,0.0,0.75,0.37104147649003255,0.6289585235099667,-0.2579170470199342
10,2020-05-07 18:46:22+00:00,https://twitter.com/batilanib/status/1258468233033768960,"inspired by a few, but my mind really drives itself like tesla ",batilanib,23,7,,,30,0.0,0.15000000000000002,0.4326919288562552,0.5673080711437427,-0.13461614228748753
11,2020-05-07 18:38:27+00:00,https://twitter.com/Hipster_Trader/status/1258466241339154433,"Tesla is up about 5% since Musk said ""Tesla stock price is too high imo""",Hipster_Trader,635,57,,,692,0.16,0.5399999999999999,0.08619917796302069,0.9138008220369813,-0.8276016440739606
12,2020-05-07 17:27:46+00:00,https://twitter.com/drjasondean/status/1258448451806932998,"Stream of consciousness post rant last night. Timelines and Universes are converging. The lead up to and exact transition point of Infinity are not always smooth. Assange, Trump, Tesla and more. #QAnon #MAGA #Tesla #INFINITY",drjasondean,23,7,,#QAnon #MAGA #Tesla #INFINITY,30,0.2875,0.32916666666666666,0.2642542533141488,0.7357457466858498,-0.471491493371701
13,2020-05-07 17:08:35+00:00,https://twitter.com/MargieDeese/status/1258443623835860996,Saw these at a service plaza in Maine today. Goes to show you that Tesla is everywhere! Way to go @elonmusk and everyone at Tesla! ,MargieDeese,2,0,,,2,0.0,0.0,0.16009813740841192,0.8399018625915896,-0.6798037251831777
14,2020-05-07 16:58:48+00:00,https://twitter.com/m_flippi/status/1258441164182749187,Bit I still want to drive a Tesla. Somebody should ginger me! ,m_flippi,6,2,,,8,0.0,0.0,0.24782743897214415,0.752172561027858,-0.5043451220557138
15,2020-05-07 16:43:34+00:00,https://twitter.com/CJNaab/status/1258437328873422848,"Hey @elonmusk &amp; @Tesla, I’m really hoping for a response on my offer about the CT Gigafactory loc. in KS I think you should entertain. If not, maybe an opinion on the designs (pics) for my EV startup Castor? I could use an investor if that interests you more? Persistence is key! ",CJNaab,1,0,,,1,0.2333333333333333,0.5666666666666667,0.2500753516409648,0.7499246483590352,-0.4998492967180704
16,2020-05-07 16:04:26+00:00,https://twitter.com/zvezdana_123/status/1258427480614080518,“Instinct is something that transcends knowledge.” -NIKOLA TESLA ,zvezdana_123,47,13,,,60,0.0,0.0,0.9507847550615262,0.04921524493847564,0.9015695101230505
