,Datetime,Permalink,Text,Username,Favorites,Retweets,Geo,Engagements,Polarity,Subjectivity,NB-Positive Probability,NB-Negative Probability,NB-Sentiment Score
0,2020-05-08 05:26:42+00:00,https://twitter.com/howardfineman/status/1258629376960270337,"Kayleigh #McEnany called #Trump comment 'racist,' 'hateful' and 'not the American way' in 2015 - CNNPolitics. Oops. https://www.cnn.com/2020/05/07/politics/kayleigh-mcenany-trump-2015/index.html",howardfineman,21,7,,28,0.0,0.0,0.9015077377951103,0.09849226220489163,0.8030154755902187
1,2020-05-08 05:26:41+00:00,https://twitter.com/theyodude/status/1258629375244689408,I wonder what Donald Trump has to say about the murdering of #AhmaudAubrey.,theyodude,2,2,,4,0.0,0.0,0.07140620196294839,0.9285937980370551,-0.8571875960741067
2,2020-05-08 05:26:24+00:00,https://twitter.com/soloranger7718/status/1258629303115399170,The consequences of this are incomprehensible. @realDonaldTrump @the_resistor @_ReaalAmerican_ https://www.darpa.mil/news-events/2019-02-06a,soloranger7718,0,0,,0,0.0,0.0,0.5225870831175811,0.47741291688241666,0.045174166235164404
3,2020-05-08 05:25:58+00:00,https://twitter.com/RonaldKlain/status/1258629191559413761,"Let me help sort out who's responsibility the mess is. It's the guy with the desk that used to have a sign that said: ""The Buck Stops Here."" https://www.axios.com/trump-coronavirus-drug-remdesivir-hospitals-pharmacies-86ad5bd0-d1ba-47dc-97f2-b19cc97603f4.html",RonaldKlain,53,26,,79,-0.175,0.175,0.1998024486032319,0.8001975513967691,-0.6003951027935371
4,2020-05-08 05:23:53+00:00,https://twitter.com/namgniw/status/1258628670312210433,Based on @realDonaldTrump 's conduct all he needs is a moo moo to look like an orange Muammar Gaddafi? No wonder he hates @HillaryClinton. US Army and USMC will remember in November. Effing Morons. Eco,namgniw,0,0,,0,-0.65,0.85,0.24727053573786295,0.7527294642621392,-0.5054589285242762
5,2020-05-08 05:21:09+00:00,https://twitter.com/u8afart/status/1258627980408107008,The Dr. Judy Mikovitz Interview proves who is guilty of crimes against mankind and treason. ⁦@realDonaldTrump⁩ ⁦@CDCgov⁩ https://player.lightcast.com/ygTO1kDM,u8afart,0,0,,0,-0.1,0.5,0.568133410784793,0.43186658921520693,0.13626682156958603
6,2020-05-08 05:21:07+00:00,https://twitter.com/WajahatAli/status/1258627971134472192,Trump wants to kill Obamacare during a pandemic. Democrats should release ads on that nonstop until November.,WajahatAli,124,40,,164,0.2,0.1,0.8271658815711791,0.17283411842882024,0.6543317631423589
7,2020-05-08 05:20:32+00:00,https://twitter.com/ermahgerdtrump/status/1258627824111542272,"ermahgerd RT @HugoVachon007: On @realDonaldTrump not wearing a mask media has to stop saying: ""... Trump being a self admitted germaphobe should… https://twitter.com/i/web/status/1258627708373872640",ermahgerdtrump,0,0,,0,0.0,0.0,0.40487975492658246,0.5951202450734213,-0.19024049014683886
8,2020-05-08 05:20:25+00:00,https://twitter.com/ermahgerdtrump/status/1258627798333362179,ermahgerd RT @whisksnwhisky: The ONLY difference between @realDonaldTrump and the Administration staffed around him in the #government Is that t… https://twitter.com/i/web/status/1258627694482173954,ermahgerdtrump,0,0,,0,0.0,1.0,0.12101962066039873,0.8789803793396016,-0.7579607586792029
9,2020-05-08 05:17:59+00:00,https://twitter.com/mbraithwaite3/status/1258627182693363713,⁦@realDonaldTrump⁩ HOW MUCH TARA READE WAS PAID TO GO AFTER BIDEN RUN A CLEAN CAMPAIGN ON THE ISSUES NO SCANDALS AND LOW DOWN DIRTY POLITICS https://www.facebook.com/1527239134221579/posts/2731451303800350/,mbraithwaite3,0,0,,0,0.10277777777777777,0.3722222222222223,0.0023693045310455973,0.9976306954689549,-0.9952613909379093
